movie_id,year,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,movie_avg_rating,movie_n_ratings,event_timestamp,created
62,1991.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3.710691823899371,318,2024-01-01,2024-01-01
63,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.761290322580645,310,2024-01-01,2024-01-01
64,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.745928338762215,307,2024-01-01,2024-01-01
65,1999.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.856697819314642,321,2024-01-01,2024-01-01
66,1993.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,300,2024-01-01,2024-01-01
67,1995.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.855305466237942,311,2024-01-01,2024-01-01
68,1991.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7335526315789473,304,2024-01-01,2024-01-01
69,1999.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.7193548387096773,310,2024-01-01,2024-01-01
70,1991.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7263513513513513,296,2024-01-01,2024-01-01
71,1999.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.7348242811501597,313,2024-01-01,2024-01-01
72,1993.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7096774193548385,310,2024-01-01,2024-01-01
73,1997.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.6357615894039736,302,2024-01-01,2024-01-01
74,1996.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.73841059602649,302,2024-01-01,2024-01-01
75,1998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6411960132890364,301,2024-01-01,2024-01-01
76,1997.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.6517571884984026,313,2024-01-01,2024-01-01
77,1994.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7551020408163267,294,2024-01-01,2024-01-01
78,1991.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.709030100334448,299,2024-01-01,2024-01-01
79,1994.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3.694006309148265,317,2024-01-01,2024-01-01
80,1997.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7241379310344827,319,2024-01-01,2024-01-01
81,1999.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6574074074074074,324,2024-01-01,2024-01-01
82,1998.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.7,310,2024-01-01,2024-01-01
83,1998.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.819935691318328,311,2024-01-01,2024-01-01
84,1990.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7155963302752295,327,2024-01-01,2024-01-01
85,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.728476821192053,302,2024-01-01,2024-01-01
86,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.705521472392638,326,2024-01-01,2024-01-01
87,1998.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8532934131736525,334,2024-01-01,2024-01-01
88,1997.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7114754098360656,305,2024-01-01,2024-01-01
89,1990.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3.781144781144781,297,2024-01-01,2024-01-01
90,1997.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.780564263322884,319,2024-01-01,2024-01-01
91,1997.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.730407523510972,319,2024-01-01,2024-01-01
92,2000.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3.7034700315457414,317,2024-01-01,2024-01-01
93,1992.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.721311475409836,305,2024-01-01,2024-01-01
94,1990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.894578313253012,332,2024-01-01,2024-01-01
95,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.759450171821306,291,2024-01-01,2024-01-01
96,1992.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.8222222222222224,315,2024-01-01,2024-01-01
97,1992.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.784313725490196,306,2024-01-01,2024-01-01
98,1990.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7981072555205047,317,2024-01-01,2024-01-01
99,2000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.577049180327869,305,2024-01-01,2024-01-01
100,1994.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7538940809968846,321,2024-01-01,2024-01-01
101,1999.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3.698675496688742,302,2024-01-01,2024-01-01
102,1996.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.820588235294118,340,2024-01-01,2024-01-01
